url,local_path,status,content_type,sha256,bytes,is_document
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c910-barinma-hizmetlerini-yonetme,mysu_dump2\surecharitasi/tr/surec/c910-barinma-hizmetlerini-yonetme.html,200,text/html; charset=utf-8,,16613,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c920-temizlik-hizmetlerini-saglama,mysu_dump2\surecharitasi/tr/surec/c920-temizlik-hizmetlerini-saglama.html,200,text/html; charset=utf-8,,18684,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c930-ulasim-hizmetlerini-saglama,mysu_dump2\surecharitasi/tr/surec/c930-ulasim-hizmetlerini-saglama.html,200,text/html; charset=utf-8,,17529,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c940-guvenlik-hizmetlerini-yonetme,mysu_dump2\surecharitasi/tr/surec/c940-guvenlik-hizmetlerini-yonetme.html,200,text/html; charset=utf-8,,25218,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c950-haberlesme-hizmetlerini-saglama,mysu_dump2\surecharitasi/tr/surec/c950-haberlesme-hizmetlerini-saglama.html,200,text/html; charset=utf-8,,16005,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c960-yiyecek-hizmetlerini-saglama,mysu_dump2\surecharitasi/tr/surec/c960-yiyecek-hizmetlerini-saglama.html,200,text/html; charset=utf-8,,16399,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=Student+Resources%28%C3%96K%29,mysu_dump2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,,26322,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=ser,mysu_dump2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,,15073,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=uo,mysu_dump2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,,16856,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=kimi,mysu_dump2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,,18340,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=bm,mysu_dump2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,,18660,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s110-bilgi-teknolojileri-kaynaklarini-planlama,mysu_dump2\surecharitasi/tr/surec/s110-bilgi-teknolojileri-kaynaklarini-planlama.html,200,text/html; charset=utf-8,,16340,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s120-bt-kaynaklarini-gelistirme-ve-iyilestirme,mysu_dump2\surecharitasi/tr/surec/s120-bt-kaynaklarini-gelistirme-ve-iyilestirme.html,200,text/html; charset=utf-8,,16106,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s130-bilgi-teknolojileri-isletimini-yonetme,mysu_dump2\surecharitasi/tr/surec/s130-bilgi-teknolojileri-isletimini-yonetme.html,200,text/html; charset=utf-8,,21938,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s140-bt-kullanici-destegi-saglama,mysu_dump2\surecharitasi/tr/surec/s140-bt-kullanici-destegi-saglama.html,200,text/html; charset=utf-8,,17339,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s210-sagligi-ve-guvenligi,mysu_dump2\surecharitasi/tr/surec/s210-sagligi-ve-guvenligi.html,200,text/html; charset=utf-8,,19846,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s220-cevre-yonetim-sistemi,mysu_dump2\surecharitasi/tr/surec/s220-cevre-yonetim-sistemi.html,200,text/html; charset=utf-8,,20283,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s230-tesisleri-ve-altyapiyi-yonetme,mysu_dump2\surecharitasi/tr/surec/s230-tesisleri-ve-altyapiyi-yonetme.html,200,text/html; charset=utf-8,,17620,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s310-butce-yonetimi,mysu_dump2\surecharitasi/tr/surec/s310-butce-yonetimi.html,200,text/html; charset=utf-8,,16904,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s320-kurumsal-duran-varlik-yonetimi,mysu_dump2\surecharitasi/tr/surec/s320-kurumsal-duran-varlik-yonetimi.html,200,text/html; charset=utf-8,,18807,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s340-finansman-ve-muhasebe-yonetimi,mysu_dump2\surecharitasi/tr/surec/s340-finansman-ve-muhasebe-yonetimi.html,200,text/html; charset=utf-8,,21448,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s350-sakip-sabanci-anavarlik-fonlari,mysu_dump2\surecharitasi/tr/surec/s350-sakip-sabanci-anavarlik-fonlari.html,200,text/html; charset=utf-8,,15390,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s360-diger-ana-varlik-fonlari,mysu_dump2\surecharitasi/tr/surec/s360-diger-ana-varlik-fonlari.html,200,text/html; charset=utf-8,,17302,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s410-kadro-planlama,mysu_dump2\surecharitasi/tr/surec/s410-kadro-planlama.html,200,text/html; charset=utf-8,,15879,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s420-ise-alim-ve-isten-ayrilma,mysu_dump2\surecharitasi/tr/surec/s420-ise-alim-ve-isten-ayrilma.html,200,text/html; charset=utf-8,,28340,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s430-yetenek-ve-gelisim,mysu_dump2\surecharitasi/tr/surec/s430-yetenek-ve-gelisim.html,200,text/html; charset=utf-8,,16539,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s440-bordro-yonetimi-yonergesi,mysu_dump2\surecharitasi/tr/surec/s440-bordro-yonetimi-yonergesi.html,200,text/html; charset=utf-8,,16992,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s450-izinler,mysu_dump2\surecharitasi/tr/surec/s450-izinler.html,200,text/html; charset=utf-8,,18316,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s460-performans-yonetimi,mysu_dump2\surecharitasi/tr/surec/s460-performans-yonetimi.html,200,text/html; charset=utf-8,,17567,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s470-ucretlendirme-ve-yararlar,mysu_dump2\surecharitasi/tr/surec/s470-ucretlendirme-ve-yararlar.html,200,text/html; charset=utf-8,,29187,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s510-kurumsal-ve-ic-iletisim,mysu_dump2\surecharitasi/tr/surec/s510-kurumsal-ve-ic-iletisim.html,200,text/html; charset=utf-8,,18133,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s520-pazarlama-ve-marka,mysu_dump2\surecharitasi/tr/surec/s520-pazarlama-ve-marka.html,200,text/html; charset=utf-8,,21048,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s530-dijital-pazarlama,mysu_dump2\surecharitasi/tr/surec/s530-dijital-pazarlama.html,200,text/html; charset=utf-8,,15804,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s610-yonetim-destek,mysu_dump2\surecharitasi/tr/surec/s610-yonetim-destek.html,200,text/html; charset=utf-8,,16649,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s620-entegre-yonetim-sistemi,mysu_dump2\surecharitasi/tr/surec/s620-entegre-yonetim-sistemi.html,200,text/html; charset=utf-8,,26437,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s630-risk-yonetimi,mysu_dump2\surecharitasi/tr/surec/s630-risk-yonetimi.html,200,text/html; charset=utf-8,,15888,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s720-hukuki-hizmetleri-saglama,mysu_dump2\surecharitasi/tr/surec/s720-hukuki-hizmetleri-saglama.html,200,text/html; charset=utf-8,,16215,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s810-satin-alma,mysu_dump2\surecharitasi/tr/surec/s810-satin-alma.html,200,text/html; charset=utf-8,,16303,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s920-kaynak-gelistirmeyi-yonetme,mysu_dump2\surecharitasi/tr/surec/s920-kaynak-gelistirmeyi-yonetme.html,200,text/html; charset=utf-8,,16752,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s930-lise-yaz-okulu,mysu_dump2\surecharitasi/tr/surec/s930-lise-yaz-okulu.html,200,text/html; charset=utf-8,,16925,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s940-ayvalik-yaratici-teknolojiler-atolyesi,mysu_dump2\surecharitasi/tr/surec/s940-ayvalik-yaratici-teknolojiler-atolyesi.html,200,text/html; charset=utf-8,,15959,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s1010-yazisma-yonetimi-sureci,mysu_dump2\surecharitasi/tr/surec/s1010-yazisma-yonetimi-sureci.html,200,text/html; charset=utf-8,,16571,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s1110-denetim-sureci,mysu_dump2\surecharitasi/tr/surec/s1110-denetim-sureci.html,200,text/html; charset=utf-8,,14862,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s1210-etik-kurul-sureci,mysu_dump2\surecharitasi/tr/surec/s1210-etik-kurul-sureci.html,200,text/html; charset=utf-8,,14922,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s1310-stratejik-planlama-sureci,mysu_dump2\surecharitasi/tr/surec/s1310-stratejik-planlama-sureci.html,200,text/html; charset=utf-8,,15540,False
